Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What table functions in the Snowflake Information Schema can be queried to retrieve information about directory tables? (Choose two.),multi-select,A. AUTO_REFRESH_REGISTRATION_HISTORY,B. EXTERNAL_TABLE_FILE_REGISTRATION_HISTORY,C. EXTERNAL_TABLE_FILES,D. MATERIALIZED_VIEW_REFRESH_HISTORY,E. STAGE_DIRECTORY_FILE_REGISTRATION_HISTORY,,,,,,,,,,,"1, 5","i checked it
Information Schema The Snowflake Snowflake Information Schema includes table functions you can query to retrieve information about your directory tables.  Table functions AUTO_REFRESH_REGISTRATION_HISTORY Retrieve the history of data files registered in the metadata of specified objects and the credits billed for these operations.  STAGE_DIRECTORY_FILE_REGISTRATION_HISTORY Retrieve information about the metadata history for a directory table, including any errors found when refreshing the metadata.
AUTO_REFRESH_REGISTRATION_HISTORY: Retrieve the history of data files registered in the metadata of specified objects and the credits billed for these operations. STAGE_DIRECTORY_FILE_REGISTRATION_HISTORY: Retrieve information about the metadata history for a directory table, including any errors found when refreshing the metadata.
https://docs.snowflake.com/en/sql-reference/functions/stage_directory_file_registration_history  https://docs.snowflake.com/en/sql-reference/functions/external_table_files",
"Which Snowflake table type persists until it is explicitly dropped, is available for all users with relevant privileges (across sessions), and has no Fail-safe period?",multiple-choice,A. External,B. Permanent,C. Temporary,D. Transient,,,,,,,,,,,,4,It's correct,
Snowflake’s access control framework combines which models for securing data? (Choose two.),multi-select,A. Attribute-based Access Control (ABAC),B. Discretionary Access Control (DAC),C. Access Control List (ACL),D. Role-based Access Control (RBAC),E. Rule-based Access Control (RuBAC),,,,,,,,,,,"2, 4",It's correct,
"Which semi-structured file format is a compressed, efficient, columnar data representation?",multiple-choice,A. Avro,B. JSON,C. TSV,D. Parquet,,,,,,,,,,,,4,"Apache Parquet is an open source, column-oriented data file format designed for efficient data storage and retrieval.",
How does Snowflake describe its unique architecture?,multiple-choice,A. A single-cluster shared data architecture using a central data repository and massively parallel processing (MPP),B. A multi-cluster shared data architecture using a central data repository and massively parallel processing (MPP),C. A single-cluster shared nothing architecture using a siloed data repository and symmetric multiprocessing (SMP),D. A multi-cluster shared nothing architecture using a siloed data repository and symmetric multiprocessing (SMP),,,,,,,,,,,,2,"B - https://docs.snowflake.com/en/user-guide/intro-key-concepts#snowflake-architecture
Answer B",
"Which data type can be used to load semi-structured data files directly, without explicitly describing the hierarchical structure of the data?",multiple-choice,A. TEXT,B. VARIANT,C. VARCHAR,D. VARBINARY,,,,,,,,,,,,2,"The VARIANT data type in Snowflake is specifically designed to handle semi-structured data files directly, without the need to explicitly describe the hierarchical structure of the data. This makes it ideal for loading and querying JSON, Avro, Parquet, ORC, and XML data.
Answer B",
"The following settings are configured:

THE MIN_DATA_RETENTION_TIME_IN_DAYS is set to 5 at the account level.
THE DATA_RETENTION_TIME_IN_DAYS is set to 2 at the object level.

For how many days will the data be retained at the object level?",multiple-choice,A. 2,B. 3,C. 5,D. 7,,,,,,,,,,,,3,"C is correct, as the retention time is set on the account level.
c is correct
If there is a minimum retention time set for the account, and a retention time explicitly set on an object, the effective retention time is the greater of the two: MAX(DATA_RETENTION_TIME_IN_DAYS, MIN_DATA_RETENTION_TIME_IN_DAYS).  https://docs.snowflake.com/en/release-notes/bcr-bundles/2023_04/bcr-928?utm_source=legacy&utm_medium=serp&utm_term=MIN_DATA_RETENTION_TIME_IN_DAYS",
Which key access control concept does Snowflake describe as a defined level of access to an object?,multiple-choice,A. Grant,B. Privilege,C. Role,D. Session,,,,,,,,,,,,2,"Privilege: A defined level of access to an object. Multiple distinct privileges may be used to control the granularity of access granted.
B.  see: https://docs.snowflake.com/en/user-guide/security-access-control-overview",
Which Snowflake object uses credits for maintenance?,multiple-choice,A. Regular table,B. Regular view,C. Materialized view,D. Cached query result,,,,,,,,,,,,3,"The automatic maintenance of materialized views consumes credits. For more details, see Materialized Views Cost (in this topic).
Answer C",
How many credits does a size 3X-Large virtual warehouse consume if it runs continuously for 2 hours?,multiple-choice,A. 32,B. 64,C. 128,D. 256,,,,,,,,,,,,3,"Cred per hour-Size 1-Xs 2-S 4-M 8-L 16-Xl 32-2xl 64-3xl 64 per hours for 2 hours = 128
https://docs.snowflake.com/en/user-guide/cost-understanding-compute 3x = 64*2 = 128",
What is the purpose of a Query Profile?,multiple-choice,A. To profile how many times a particular query was executed and analyze its usage statistics over time.,"B. To profile a particular query to understand the mechanics of the query, its behavior, and performance.",C. To profile the user and/or executing role of a query and all privileges and policies applied on the objects within the query.,D. To profile which queries are running in each warehouse and identify proper warehouse utilization and sizing for better performance and cost balancing.,,,,,,,,,,,,2,"Query Profile is a powerful tool for understanding the mechanics of queries. It can be used whenever you want or need to know more about the performance or behavior of a particular query
Answer B",
Which common query problems are identified by the Query Profile? (Choose two.),multi-select,A. Syntax error,B. Inefficient pruning,C. Ambiguous column names,D. Queries too large to fit in memory,E. Object does not exist or not authorized,,,,,,,,,,,"2, 4","https://docs.snowflake.com/en/user-guide/ui-query-profile#statistics B Pruning and D Spilling  Please stop quoting Chat GPT without verifying
Choose two. So best two. From https://docs.snowflake.com/en/user-guide/ui-query-profile. Pruning - information on the effects of table pruning. Spilling — information about disk usage for operations where intermediate results do not fit in memory.
B. Inefficient pruning E. Object does not exist or not authorized  Explanation:  A Query Profile in Snowflake is designed to provide insights into the performance characteristics of a specific query. Common query problems that can be identified by the Query Profile include:  B. Inefficient pruning: It can reveal whether pruning (filtering) of data during query execution is being performed efficiently. Inefficient pruning may result in the query scanning more data than necessary.  E. Object does not exist or not authorized: The Query Profile can identify issues related to missing or unauthorized objects in the query. This includes situations where tables or columns referenced in the query do not exist or the user does not have the necessary privileges.  Syntax errors (A), ambiguous column names (C), and queries too large to fit in memory (D) are typically identified during the parsing and compilation phases and may not be specifically addressed by the Query Profile.",
"While running a query on a virtual warehouse in auto-scale mode, additional clusters are started immediately if which setting is configured?",multiple-choice,A. MAX_CLUSTER_COUNT is increased and new_max_clusters is greater than running_clusters,B. MAX_CLUSTER_COUNT is decreased and new_max_clusters is less than running_clusters,C. MIN_CLUSTER_COUNT is increased and new_min_clusters is greater than running_clusters,D. MIN_CLUSTER_COUNT is decreased and new_min_clusters is less than running_clusters,,,,,,,,,,,,3,"Auto-scale: ↑ max If new_max_clusters > running_clusters, no changes until additional clusters are needed. ↓ max If new_max_clusters < running_clusters, excess clusters shut down when they finish executing statements and the scaling policy conditions are met. ↑ min If new_min_clusters > running_clusters, additional clusters immediately started to meet the minimum. ↓ min If new_min_clusters < running_clusters, excess clusters shut down when they finish executing statements and the scaling policy conditions are met.
C.   https://docs.snowflake.com/en/user-guide/warehouses-multicluster#increasing-or-decreasing-clusters-for-a-multi-cluster-warehouse",
"Which Snowflake role can manage any object grant globally, including modifying and revoking grants?",multiple-choice,A. USERADMIN,B. ORGADMIN,C. SYSADMIN,D. SECURITYADMIN,,,,,,,,,,,,4,"SECURITYADMIN (Security Administrator):  -This role can manage any object grant globally. -It has the ability to create, monitor, and manage users and roles. -It is granted the MANAGE GRANTS security privilege to be able to modify any grant, including revoking it. -It inherits the privileges of the USERADMIN role via the system role hierarchy.
https://docs.snowflake.com/en/user-guide/security-access-control-considerations",
What is the MINIMUM permission needed to access a file URL from an external stage?,multiple-choice,A. MODIFY,B. READ,C. SELECT,D. USAGE,,,,,,,,,,,,4,"USAGE (external stage) or READ (internal stage)
https://docs.snowflake.com/en/sql-reference/functions/build_stage_file_url",
"In the Data Exchange, who can get or request data from the listings? (Choose two.)",multi-select,A. Users with ACCOUNTADMIN role,B. Users with SYSADMIN role,C. Users with ORGADMIN role,D. Users with IMPORT SHARE privilege,E. Users with MANAGE GRANTS privilege,,,,,,,,,,,"1, 4","All users can browse listings in the Data Exchange, but only users with the ACCOUNTADMIN role or the IMPORT SHARE privilege can get or request data.
https://docs.snowflake.com/en/user-guide/data-exchange-using",
What does Snowflake attempt to do if any of the compute resources for a virtual warehouse fail to provision during start-up?,multiple-choice,A. Repair the failed resources.,B. Restart the failed resources.,C. Queue the failed resources.,D. Provision the failed resources.,,,,,,,,,,,,1,"https://docs.snowflake.com/en/user-guide/warehouses-tasks#starting-or-resuming-a-warehouse
A. Repair the failed resources.
Answer A If any of the compute resources for the warehouse fail to provision during start-up, Snowflake attempts to repair the failed resources.  https://docs.snowflake.com/en/user-guide/warehouses-tasks",
Which command is used to take away staged files from a Snowflake stage after a successful data ingestion?,multiple-choice,A. DELETE,B. DROP,C. REMOVE,D. TRUNCATE,,,,,,,,,,,,3,"Answer C. https://docs.snowflake.com/en/user-guide/data-load-considerations-manage and https://docs.snowflake.com/en/sql-reference/sql/remove
Answer C",
The Snowflake VARIANT data type imposes a 16 MB size limit on what?,multiple-choice,A. An individual row,B. An individual column,C. A view,D. A file in a stage,,,,,,,,,,,,1,"A us correct
https://docs.snowflake.com/en/user-guide/semistructured-considerations The VARIANT data type imposes a 16 MB size limit on individual rows.
A is the correct Answer",
Which Snowflake feature records changes made to a table so actions can be taken using that change data capture?,multiple-choice,A. Materialized View,B. Pipe,C. Stream,D. Task,,,,,,,,,,,,3,"Answer C
c correct",
"Which system-defined, read-only view displays information on column lineage that specifies how data flows from source to target in a SQL write operation?",multiple-choice,A. ACCESS_HISTORY,B. LOAD_HISTORY,C. QUERY_HISTORY,D. COPY_HISTORY,,,,,,,,,,,,1,"Access History in Snowflake refers to when the user query reads data and when the SQL statement performs a data write operation, such as INSERT, UPDATE, and DELETE along with variations of the COPY command, from the source data object to the target data object. The user access history can be found by querying the Account Usage ACCESS_HISTORY view.
it's correct see: https://docs.snowflake.com/en/user-guide/access-history
It's A  ""Column lineage Column lineage (i.e. access history for columns) extends the Account Usage ACCESS_HISTORY view to specify how data flows from the source column to the target column in a write operation. Snowflake tracks the data from the source columns through all subsequent table objects that reference data from the source columns (e.g. INSERT, MERGE, CTAS) provided that objects in the lineage chain are not dropped. Snowflake makes column lineage accessible by enhancing the objects_modified column in the ACCESS_HISTORY view."" --> https://docs.snowflake.com/en/user-guide/access-history",
Who can create network policies within Snowflake? (Choose two.),multi-select,A. SYSADMIN only,B. ORGADMIN only,C. SECURITYADMIN or higher roles,D. A role with the CREATE NETWORK POLICY privilege,E. A role with the CREATE SECURITY INTEGRATION privilege,,,,,,,,,,,"3, 4","https://docs.snowflake.com/en/sql-reference/sql/create-network-policy
C & D see: https://docs.snowflake.com/en/user-guide/network-policies",
Who can grant object privileges in a regular schema?,multiple-choice,A. Object owner,B. Schema owner,C. Database owner,D. SYSADMIN,,,,,,,,,,,,1,"A because it's not managed schema.  For managed Schema Schema Owner can grant Previleges.
https://docs.snowflake.com/en/user-guide/security-access-control-configure#label-managed-access-schemas  Managed access schemas improve security by locking down privilege management on objects.  In regular (i.e. non-managed) schemas, object owners (i.e. a role with the OWNERSHIP privilege on an object) can grant access on their objects to other roles, with the option to further grant those roles the ability to manage object grants.  With managed access schemas, object owners lose the ability to make grant decisions. Only the schema owner (i.e. the role with the OWNERSHIP privilege on the schema) or a role with the MANAGE GRANTS privilege can grant privileges on objects in the schema, including future grants, centralizing privilege management.
In regular (i.e. non-managed) schemas, object owners (i.e. a role with the OWNERSHIP privilege on an object) can grant access on their objects to other roles https://docs.snowflake.com/en/user-guide/security-access-control-configure#label-managed-access-schemas",
Which command can be used to list all the file formats for which a user has access privileges?,multiple-choice,A. LIST,B. ALTER FILE FORMAT,C. DESCRIBE FILE FORMAT,D. SHOW FILE FORMATS,,,,,,,,,,,,4,"need discussion on 930 934 938 939 940 943 945 951 952 953 955 960-1024 Thanks.
it's correct see: https://docs.snowflake.com/en/sql-reference/sql/show-file-formats",
"A Snowflake user runs a query for 36 seconds on a size 2XL virtual warehouse.

What would be the credit consumption?",multiple-choice,A. Snowflake will charge for 36 seconds at the rate of 32 credits per hour.,B. Snowflake will charge for 36 seconds at the rate of 64 credits per hour.,C. Snowflake will charge for 60 seconds at the rate of 32 credits per hour.,D. Snowflake will charge for 60 seconds at the rate of 64 credits per hour.,,,,,,,,,,,,3,"The rate of 64 credits per hour is based on the size of the virtual warehouse. In Snowflake, the credit consumption rate for a virtual warehouse is determined by its size. A 2XL virtual warehouse consumes 64 credits per hour
L 8/ XL 16/2XL 32
https://docs.snowflake.com/en/user-guide/warehouses-overview#warehouse-size  2X -> 32 credit /hour considering min 60 seconds a VM runs",
What value provides information about disk usage for operations where intermediate results do not fit in memory in a Query Profile?,multiple-choice,A. IO,B. Network,C. Pruning,D. Spilling,,,,,,,,,,,,4,"D  https://community.snowflake.com/s/article/Performance-impact-from-local-and-remote-disk-spilling
D is correct",
"Regardless of which notation is used, what are considerations for writing the column name and element names when traversing semi-structured data?",multiple-choice,A. The column name and element names are both case-sensitive.,B. The column name and element names are both case-insensitive.,C. The column name is case-sensitive but element names are case-insensitive.,D. The column name is case-insensitive but element names are case-sensitive.,,,,,,,,,,,,4,"Regardless of which notation you use, the column name is case-insensitive but element names are case-sensitive. For example, (src is a column name) in the following list, the first two paths are equivalent, but the third is not: src:salesperson.name SRC:salesperson.name SRC:Salesperson.Name
D is correct; https://docs.snowflake.com/en/user-guide/querying-semistructured",
Which Snowflake data type is used to store JSON key value pairs?,multiple-choice,A. TEXT,B. BINARY,C. STRING,D. VARIANT,,,,,,,,,,,,4,D is correct https://docs.snowflake.com/en/sql-reference/data-types-semistructured VARIANT and OBJECT can contain key-value pairs,
How are network policies defined in Snowflake?,multiple-choice,A. They are a set of rules that define the network routes within Snowflake.,B. They are a set of rules that dictate how Snowflake accounts can be used between multiple users.,C. They are a set of rules that define how data can be transferred between different Snowflake accounts within an organization.,D. They are a set of rules that control access to Snowflake accounts by specifying the IP addresses or ranges of IP addresses that are allowed to connect to Snowflake.,,,,,,,,,,,,4,"Snowflake recommends using network rules in conjunction with network policies rather using this parameter. Use the BLOCKED_NETWORK_RULE_LIST parameter to specify network rules that contain IPv4 addresses.  Specifies a list of IPv4 addresses that are denied access to your Snowflake account. This is referred to as the blocked list.  Set this parameter only when you are allowing access to a range of IP addresses (specified in ALLOWED_IP_LIST), but want to deny access to one or more IP addresses within the range.",
What is the only supported character set for loading and unloading data from all supported file formats?,multiple-choice,A. UTF-8,B. UTF-16,C. ISO-8859-1,D. WINDOWS-1253,,,,,,,,,,,,1,"For loading data from delimited files (CSV, TSV, etc.), UTF-8 is the default.   For loading data from all other supported file formats (JSON, Avro, etc.), as well as unloading data, UTF-8 is the only supported character set.
A.  https://docs.snowflake.com/en/sql-reference/sql/create-file-format",
Which function is used to convert rows in a relational table to a single VARIANT column?,multiple-choice,A. ARRAY_AGG,B. OBJECT_AGG,C. ARRAY_CONSTRUCT,D. OBJECT_CONSTRUCT,,,,,,,,,,,,4,D is correct. https://docs.snowflake.com/en/user-guide/data-unload-considerations,
Which command can be used to delete staged files from a Snowflake stage when the files are no longer needed?,multiple-choice,A. DELETE,B. DROP,C. REMOVE,D. TRUNCATE TABLE,,,,,,,,,,,,3,"REMOVE Removes files from either an external (external cloud storage) or internal (i.e. Snowflake) stage. https://docs.snowflake.com/en/sql-reference/sql/remove  Staged files can be deleted from a Snowflake stage (user stage, table stage, or named stage) using the following methods:  Files that were loaded successfully can be deleted from the stage during a load by specifying the PURGE copy option in the COPY INTO <table> command.  After the load completes, use the REMOVE command to remove the files in the stage. https://docs.snowflake.com/en/user-guide/data-load-considerations-manage",
"A virtual warehouse initially suffers from poor performance as a result of queries from multiple concurrent processes that are queuing. Over time, the problem resolved.

What action can be taken to prevent this from happening again?",multiple-choice,A. Increase the size of the virtual warehouse.,B. Add a cluster key to the most used JOIN key.,C. Change the multi-cluster settings to add additional clusters.,D. Enable the search optimization service for the underlying tables.,,,,,,,,,,,,3,"Multi-cluster warehouses are designed specifically for handling queuing and performance issues related to large numbers of concurrent users and/or queries. In addition, multi-cluster warehouses can help automate this process if your number of users/queries tend to fluctuate. https://docs.snowflake.com/en/user-guide/warehouses-considerations#multi-cluster-warehouses-improve-concurrency
C is correct",
What action can be performed using the GET command in Snowflake?,multiple-choice,A. Automatically rename downloaded files.,B. Automatically decrypt downloaded data on a client machine.,C. Download data files from Snowflake internal stages to a local directory/folder.,D. Download data files from Snowflake external stages to a local directory/folder.,,,,,,,,,,,,3,"GET Downloads data files from one of the following Snowflake stages to a local directory/folder on a client machine: Named internal stage. Internal stage for a specified table. Internal stage for the current user. GET does not support downloading files from external stages. To download files from external stages, use the utilities provided by the cloud service. PUT has the same limitation: doesn't support uploading files to an external stage: https://docs.snowflake.com/en/sql-reference/sql/put
C is ok",
Which validation option is the only one that supports the COPY INTO [location] command?,multiple-choice,A. RETURN_ROWS,B. RETURN_[n]_ROWS,C. RETURN_ERRORS,D. RETURN_ALL_ERRORS,,,,,,,,,,,,1,"For sure, those who designed these questions did not have complete intellectual and mental health. Also, I believe that it will be a big problem for the Snowflake company over time because the way the questions are designed and the content is very stereotyped and memory-oriented. Answer these questions correctly
A. https://docs.snowflake.com/en/sql-reference/sql/copy-into-location",
"What are the correct settings for column and element names, regardless of which notation is used while accessing elements in a JSON object?",multiple-choice,A. Both the column name and the element name are case-insensitive.,B. Both the column name and the element name are case-sensitive.,C. The column name is case-sensitive and the element names are case-insensitive.,D. The column name is case-insensitive and the element name is case-sensitive.,,,,,,,,,,,,4,"D. The column name is case-insensitive and the element name is case-sensitive. https://docs.snowflake.com/en/user-guide/querying-semistructured Important Regardless of which notation you use, the column name is case-insensitive but element names are case-sensitive. For example, in the following list, the first two paths are equivalent, but the third is not: src:salesperson.name SRC:salesperson.name SRC:Salesperson.Name
https://docs.snowflake.com/en/user-guide/json-basics-tutorial-query",
How can the Query Profile be used to identify the costliest operator of a query?,multiple-choice,A. Select any node in the operator tree and look at the number of micro-partitions scanned.,B. Find the operator node with the highest fraction of time or percentage of total time.,C. Select the TableScan operator node and look at the percentage scanned from cache.,D. Look at the number of rows between operator nodes across the operator tree.,,,,,,,,,,,,2,"Answer B :  Operator Nodes by Execution Time:  A collapsible panel in the operator tree pane lists nodes by execution time in descending order, enabling users to quickly locate the costliest operator nodes in terms of execution time. The panel lists all nodes that lasted for 1% or longer of the total execution time of the query (or the execution time for the displayed query step, if the query was executed in multiple processing steps).  https://docs.snowflake.com/en/user-guide/ui-query-profile
B is correct https://docs.snowflake.com/en/user-guide/ui-query-profile",
"In order to access Snowflake Marketplace listings, who needs to accept the Snowflake Consumer Terms of Service?",multiple-choice,A. SYSADMIN,B. SECURITYADMIN,C. ACCOUNTADMIN,D. ORGADMIN,,,,,,,,,,,,4,"You must be an organization administrator (i.e. a user granted the ORGADMIN role) to accept the terms
D. ORGADMIN https://other-docs.snowflake.com/en/collaboration/consumer-becoming The organization administrator only needs to accept the Snowflake Provider and Consumer Terms once for your organization. After the terms have been accepted, anyone in your organization that has a role with the necessary privileges can become a consumer of listings.  Note  You must be an organization administrator (i.e. a user granted the ORGADMIN role) to accept the terms.",
Which statistics are displayed in a Query Profile that indicate that intermediate results do not fit in memory? (Choose two.),multi-select,A. Bytes scanned,B. Partitions scanned,C. Bytes spilled to local storage,D. Bytes spilled to remote storage,E. Percentage scanned from cache,,,,,,,,,,,"3, 4","https://docs.snowflake.com/en/user-guide/ui-query-profile
correct",
How can a dropped internal stage be restored?,multiple-choice,A. Enable Time Travel.,B. Clone the dropped stage.,C. Execute the UNDROP command.,D. Recreate the dropped stage.,,,,,,,,,,,,4,"From docs  https://docs.snowflake.com/en/sql-reference/sql/drop-stage#:~:text=Usage%20notes,must%20be%20recreated.
https://docs.snowflake.com/en/sql-reference/sql/undrop You can undrop DB, SCHEMA, TABLE, also ACCOUNT and TAG
D. Recreate the dropped stage. https://docs.snowflake.com/en/user-guide/data-time-travel#introduction-to-time-travel Using Time Travel, you can perform the following actions within a defined period of time:  Query data in the past that has since been updated or deleted.  Create clones of entire tables, schemas, and databases at or before specific points in the past.  Restore tables, schemas, and databases that have been dropped.  Doesn't look like you can restore a dropped stage using UNDROP and time travel. Looks like you just need to recreate it using your SQL definition.",
Which command line flags can be used to log into a Snowflake account using SnowSQL? (Choose two.),multi-select,A. -d,B. -o,C. -e,D. -a,E. -c,,,,,,,,,,,"1, 4","-a, --accountname TEXT Your account identifier. Honors $SNOWSQL_ACCOUNT. -d, --dbname TEXT  Database to use. Honors $SNOWSQL_DATABASE. https://docs.snowflake.com/en/user-guide/snowsql-start
AD. https://docs.snowflake.com/en/user-guide/snowsql-use",
What is a key benefit of using organizations in Snowflake?,multiple-choice,A. Ability to use ACCOUNT_USAGE views,B. Ability to use zero-copy cloning across accounts,C. Ability to consolidate account management and billing,D. Ability to access new releases for testing and validation purposes,,,,,,,,,,,,3,"An organization is a first-class Snowflake object that links the accounts owned by your business entity. Organizations simplify account management and billing, Replication and Failover/Failback, Snowflake Secure Data Sharing, and other account administration tasks.
https://docs.snowflake.com/en/user-guide/organizations",
Which privilege is required on a virtual warehouse to abort any existing executing queries?,multiple-choice,A. USAGE,B. OPERATE,C. MODIFY,D. MONITOR,,,,,,,,,,,,2,"B is correct OPERATE Enables changing the state of a warehouse (stop, start, suspend, resume). In addition, enables viewing current and past queries executed on a warehouse and aborting any executing queries. https://docs.snowflake.com/en/user-guide/security-access-control-privileges#virtual-warehouse-privileges",
Which command should be used to look into the validity of an XML object in Snowflake?,multiple-choice,A. XMLGET,B. TO_XML,C. PARSE_XML,D. CHECK_XML,,,,,,,,,,,,3,"https://docs.snowflake.com/en/sql-reference/functions/check_xml PREVIEW FEATURE — OPEN  Enabled for all accounts.  Checks the validity of an XML document. If the input string is NULL or a valid XML document, the output is NULL. In case of an XML parsing error, the output string contains the error message.
Also see this one, it has a similar purpose, but it's for JSON: https://docs.snowflake.com/en/sql-reference/functions/check_json. Checks the validity of a JSON document. If the input string is a valid JSON document or a NULL, the output is NULL (i.e. no error). If the input cannot be translated to a valid JSON value, the output string contains the error message.",
Who can activate a network policy for users in a Snowflake account? (Choose two.),multi-select,A. ACCOUNTADMIN,B. USERADMIN,C. PUBLIC,D. SYSADMIN,E. Any role that has the global ATTACH POLICY privilege,,,,,,,,,,,"1, 5","AE Only security administrators (i.e. users with the SECURITYADMIN role) or higher or a role with the global ATTACH POLICY privilege can activate a network policy for an account. Once the policy is associated with your account, Snowflake restricts access to your account based on the allowed list and blocked list.
Answer - AE Only security administrators (i.e. users with the SECURITYADMIN role) or higher or a role with the global ATTACH POLICY privilege can activate a network policy for an account. Once the policy is associated with your account, Snowflake restricts access to your account based on the allowed list and blocked list.",
For which use cases is running a virtual warehouse required? (Choose two.),multi-select,A. When creating a table,B. When loading data into a table,C. When unloading data from a table,D. When executing a SHOW command,E. When executing a LIST command,,,,,,,,,,,"2, 3","https://docs.snowflake.com/en/user-guide/warehouses
Executing SQL SELECT statements that require compute resources (e.g. retrieving rows from tables and views).  Performing DML operations, such as:  Updating rows in tables (DELETE , INSERT , UPDATE).  Loading data into tables (COPY INTO <table>).  Unloading data from tables (COPY INTO <location>).",
What action should be taken if a Snowflake user wants to share a newly created object in a database with consumers?,multiple-choice,A. Use the automatic sharing feature for seamless access.,B. Drop the object and then re-add it to the database to trigger sharing.,C. Recreate the object with a different name in the database before sharing.,D. Use the GRANT privilege ... TO SHARE command to grant the necessary privileges.,,,,,,,,,,,,4,"To make a new object available to consumers, you must use the GRANT <privilege> … TO SHARE command to explicitly add the object to the share.
https://docs.snowflake.com/en/user-guide/data-sharing-gs",
Which Snowflake privilege is required on a pipe object to pause or resume pipes?,multiple-choice,A. OPERATE,B. READ,C. SELECT,D. USAGE,,,,,,,,,,,,1,A non-owner role with the OPERATE privilege on the pipe can pause or resume a pipe (using ALTER PIPE … SET PIPE_EXECUTION_PAUSED = TRUE | FALSE).  SQL operations on schema objects also require the USAGE privilege on the database and schema that contain the object.,
Which commands can a Snowflake user execute to specify a cluster key for a table? (Choose two.),multi-select,A. CREATE,B. UPDATE,C. ALTER,D. SET,E. SHOW,,,,,,,,,,,"1, 3","https://docs.snowflake.com/en/user-guide/tables-clustering-keys
A clustering key can be defined at table creation (using the CREATE TABLE command) or afterward (using the ALTER TABLE command).",
Authorization to execute CREATE [object] statements comes only from which role?,multiple-choice,A. Primary role,B. Secondary role,C. Application role,D. Database role,,,,,,,,,,,,1,"A. Primary role Note that authorization to execute CREATE <object> statements to create objects is provided by the primary role. https://docs.snowflake.com/en/sql-reference/sql/use-secondary-roles
Primary role is the correct answer",
"Which VALIDATION_MODE value will return the errors across the files specified in a COPY command, including files that were partially loaded during an earlier load?",multiple-choice,A. RETURN_-1_ROWS,B. RETURN_n_ROWS,C. RETURN_ERRORS,D. RETURN_ALL_ERRORS,,,,,,,,,,,,4,"RETURN_ALL_ERRORS  Returns all errors across all files specified in the COPY statement, including files with errors that were partially loaded during an earlier load because the ON_ERROR copy option was set to CONTINUE during the load. D
D RETURN_ALL_ERRORS Returns all errors across all files specified in the COPY statement, including files with errors that were partially loaded during an earlier load because the ON_ERROR copy option was set to CONTINUE during the load. https://docs.snowflake.com/en/sql-reference/sql/copy-into-table",
"Which command is used to upload data files from a local directory or folder on a client machine to an internal stage, for a specified table?",multiple-choice,A. GET,B. PUT,C. CREATE STREAM,D. COPY INTO [location],,,,,,,,,,,,2,"B is correct https://docs.snowflake.com/en/sql-reference/sql/put Uploads data files from a local file system to one of the following Snowflake stages:  A named internal stage.  A specified table’s internal stage.  The current user’s internal stage.  PUT does not support uploading files to external stages. To upload files to external stages, use the utilities provided by the cloud service.",
Which governance feature is supported by all Snowflake editions?,multiple-choice,A. Object tags,B. Masking policies,C. Row access policies,D. OBJECT_DEPENDENCIES view,,,,,,,,,,,,4,"D. OBJECT_DEPENDENCIES view
Same applies to B & C.  A, B & C all starts from Enterprise. So D is correct answer
A is not correct.  Object tagging is available only from Enterprise Edition.  https://docs.snowflake.com/en/user-guide/object-tagging",
Which chart type is supported in Snowsight for Snowflake users to visualize data with dashboards?,multiple-choice,A. Area chart,B. Box plot,C. Heat grid,D. Pie chart,,,,,,,,,,,,3,Bar charts  Line charts  Scatterplots  Heat grids  Scorecards,
At what level is the MIN_DATA_RETENTION_TIME_IN_DAYS parameter set?,multiple-choice,A. Account,B. Database,C. Schema,D. Table,,,,,,,,,,,,1,MIN_DATA_RETENTION_TIME_IN_DAYS - Account level DATA_RETENTION_TIME_IN_DAYS - Object / Account level  Max of these values apply.,
Which function returns an integer between 0 and 100 when used to calculate the similarity of two strings?,multiple-choice,A. APPROXIMATE_SIMILARITY,B. JAROWINKLER_SIMILARITY,C. APPROXIMATE_JACCARD_INDEX,D. MINHASH_COMBINE,,,,,,,,,,,,2,"Computes the Jaro-Winkler similarity between two input strings. The function returns an integer between 0 and 100, where 0 indicates no similarity and 100 indicates an exact match.
https://docs.snowflake.com/en/sql-reference/functions/jarowinkler_similarity",
Which Snowflake data governance feature can support auditing when a user query reads column data?,multiple-choice,A. Access History,B. Data classification,C. Column-level security,D. Object dependencies,,,,,,,,,,,,1,"it's A - Allows the auditing of the user access history through the Account Usage ACCESS_HISTORY View.
B and C https://docs.snowflake.com/en/guides-overview-govern",
